Rack,Row,Column,Pair ID,Date,month.clutch,month,clutch.age,clutch.ID,M.A,Fed1.0,M.mouth,M.fan,M.bite,M.chase,M.tend,M.prop.tend,M.F
A,1,2,A12,13-Oct,1,4,1,1,A,-0.5,19,0,0,0,7.77615,0.51841,0
A,1,2,A12,16-Oct,1,4,4,1,A,-0.5,27,0,0,0,10.3939,0.692926667,0
A,1,2,A12,19-Oct,1,4,7,1,A,-0.5,20,25,0,0,12.52418333,0.834945556,0
A,2,1,A21,10-Oct,1,4,1,2,A,-0.5,22,0,0,0,3.812383333,0.254158889,0
A,2,1,A21,13-Oct,1,4,4,2,A,-0.5,4,0,0,0,1.194916667,0.079661111,0
A,2,1,A21,16-Oct,1,4,7,2,A,-0.5,10,0,0,0,2.465716667,0.164381111,0
B,3,4,B34,14-Oct,1,4,1,3,A,-0.5,26,0,0,0,5.963533333,0.397568889,0
B,3,4,B34,17-Oct,1,4,4,3,A,-0.5,26,0,0,0,5.633083333,0.375538889,0
B,3,4,B34,20-Oct,1,4,7,3,A,-0.5,17,13,0,0,9.347883333,0.623192222,0
C,1,3,C13,18-Oct,1,4,1,4,A,-0.5,31,0,0,0,6.05425,0.403616667,0
C,1,3,C13,21-Oct,1,4,4,4,A,-0.5,35,0,0,0,9.773416667,0.651561111,0
C,1,3,C13,24-Oct,1,4,7,4,A,-0.5,30,31,0,0,12.13733333,0.809155556,0
D,1,3,D13,7-Oct,1,4,1,5,A,-0.5,17,0,0,0,10.73935,0.715956667,0
D,1,3,D13,10-Oct,1,4,4,5,A,-0.5,9,0,0,0,6.459933333,0.430662222,0
D,1,3,D13,13-Oct,1,4,7,5,A,-0.5,24,0,0,0,10.11475,0.674316667,0
D,2,5,D25,26-Sep,1,4,1,6,A,-0.5,59,5,0,0,10.35116667,0.690077778,0
D,2,5,D25,29-Sep,1,4,4,6,A,-0.5,31,39,0,1,12.39071667,0.826047778,0
D,2,5,D25,2-Oct,1,4,7,6,A,-0.5,21,60,0,0,12.68681667,0.845787778,0
D,2,5,D25,13-Oct,2,4,1,7,A,-0.5,52,6,0,0,11.20446667,0.746964444,0
D,2,5,D25,16-Oct,2,4,4,7,A,-0.5,64,5,0,0,13.15885,0.877256667,0
D,2,5,D25,19-Oct,2,4,7,7,A,-0.5,40,74,0,0,14.93231667,0.995487778,0
A,1,2,A12,28-Nov,1,6,1,8,A,-0.5,78,0,0,0,12.79235,0.852823333,0
A,1,2,A12,30-Nov,1,6,4,8,A,-0.5,38,3,0,0,10.37248333,0.691498889,0
A,1,2,A12,3-Dec,1,6,7,8,A,-0.5,29,37,0,0,11.6898,0.77932,0
A,2,1,A21,4-Dec,1,6,1,9,A,-0.5,16,0,0,0,5.8829,0.392193333,0
A,2,1,A21,7-Dec,1,6,4,9,A,-0.5,19,0,0,0,4.057166667,0.270477778,0
A,2,1,A21,10-Dec,1,6,7,9,A,-0.5,52,35,0,0,10.90386667,0.726924444,0
B,3,3,B33,26-Nov,1,6,1,10,A,-0.5,26,0,0,0,10.09605,0.67307,0
B,3,3,B33,29-Nov,1,6,4,10,A,-0.5,16,0,0,0,7.093883333,0.472925556,0
B,3,3,B33,2-Dec,1,6,7,10,A,-0.5,34,58,0,0,13.43556667,0.895704444,0
C,1,3,C13,16-Dec,1,6,1,11,A,-0.5,15,0,0,0,2.096033333,0.139735556,0
C,1,3,C13,19-Dec,1,6,4,11,A,-0.5,14,0,0,0,2.632633333,0.175508889,0
C,1,3,C13,22-Dec,1,6,7,11,A,-0.5,42,17,0,0,9.789466667,0.652631111,0
D,1,3,D13,28-Nov,1,6,1,12,A,-0.5,40,0,0,0,11.61253333,0.774168889,0
D,1,3,D13,1-Dec,1,6,4,12,A,-0.5,10,0,0,0,10.16276667,0.677517778,0
D,1,3,D13,4-Dec,1,6,7,12,A,-0.5,20,9,0,0,11.45068333,0.763378889,0
D,2,5,D25,28-Nov,1,6,1,13,A,-0.5,NA,NA,NA,NA,NA,NA,0
D,2,5,D25,1-Dec,1,6,4,13,A,-0.5,47,6,0,0,11.21116667,0.747411111,0
D,2,5,D25,4-Dec,1,6,7,13,A,-0.5,53,19,0,0,10.84406667,0.722937778,0
A,1,2,A12,16-Dec,2,6,1,14,A,-0.5,31,0,0,0,7.92735,0.52849,0
A,1,2,A12,19-Dec,2,6,4,14,A,-0.5,43,1,0,0,12.56291667,0.837527778,0
A,1,2,A12,22-Dec,2,6,7,14,A,-0.5,29,42,0,0,14.42428333,0.961618889,0
A,1,3,A13,28-Jan,1,8,2,15,A,-0.5,41,0,0,0,9.344216667,0.622947778,0
A,1,3,A13,30-Jan,1,8,4,15,A,-0.5,47,3,0,0,11.77345,0.784896667,0
A,1,3,A13,2-Feb,1,8,7,15,A,-0.5,57,21,0,0,14.81688333,0.987792222,0
A,2,4,A24,28-Jan,1,8,1,16,A,-0.5,24,0,0,0,11.17721667,0.745147778,0
A,2,4,A24,31-Jan,1,8,4,16,A,-0.5,42,0,0,0,13.01878333,0.867918889,0
A,2,4,A24,3-Feb,1,8,7,16,A,-0.5,55,23,0,0,13.4444,0.896293333,0
C,2,3,C23,26-Jan,1,8,1,17,A,-0.5,NA,NA,NA,NA,NA,NA,0
C,2,3,C23,29-Jan,1,8,4,17,A,-0.5,38,0,0,0,14.88296667,0.992197778,0
C,2,3,C23,1-Feb,1,8,7,17,A,-0.5,50,46,0,0,12.60866667,0.840577778,0
C,2,3,C23,8-Feb,2,8,1,18,A,-0.5,16,0,0,0,5.32605,0.35507,0
